usage_mins,monthly_bill,support_calls,churn
638.9465432958636,37.86623411245527,1,1
383.114013372187,82.43500130507665,3,1
656.5635055672051,78.54980632226437,3,1
535.7672142045644,42.356534172633225,0,0
611.4364259099739,83.61379395306352,0,0
586.0316012548617,52.210156173598435,1,0
719.716213717169,53.27847192256726,4,1
637.8263616145634,90.20187876510778,1,1
700.6103554638839,96.6061488509171,2,1
418.1283447933643,74.28591841497543,2,0
669.9168543871483,59.82735461432729,1,1
544.2794637604339,88.79326478695523,0,0
768.6558912088486,20.16371719819744,5,1
482.7190308607617,37.24735095747275,1,0
689.9393581460263,64.42025646821763,3,1
835.4806436727727,70.39788494442757,4,1
680.5509077702291,72.94393867695301,8,1
534.6315047164549,70.13453076404426,3,0
583.8718908859098,76.31398848305851,3,0
638.4600718862058,44.48838714033478,0,0
509.62150994482136,87.7534044524538,4,1
471.6282216167425,37.97598167364482,3,0
716.9867999446582,91.17909998609827,6,1
601.9350164032659,59.29952008197,5,1
726.269831595929,23.977256942272618,5,0
614.0950616046866,62.86027016372539,7,1
730.1158155136613,65.74735730997644,2,1
612.8972038902485,77.0022412360232,3,1
605.3281175528766,71.50869295822955,2,1
744.0609856837912,46.11759032525134,4,1
585.8310960465654,58.12673390852618,4,1
491.38337925409746,77.76188848093396,4,1
687.7967763244365,88.3973826743197,2,0
692.6966453833687,81.60685718779425,3,0
606.5910873420115,72.34768898931745,2,1
495.3767267406132,28.606542710519292,5,0
725.4914337401884,72.35554763771,3,1
400.9520323583891,68.8157840870274,1,0
630.7281738121383,56.38509125838192,5,0
652.9291329237471,38.986569593641086,7,1
517.2315805927965,88.78354652965989,2,0
497.63822626694474,63.42997508667823,3,0
560.9216815110703,49.9551901922182,2,1
527.2086103471793,78.1694274960617,4,0
444.3354085057466,48.61330710058381,1,0
570.2028917867812,69.55091866165722,6,0
518.05189553641,52.33070945913677,3,1
738.1261266080891,67.64681104850717,4,1
543.519053970483,83.07903022807443,3,0
497.5554409254348,64.82213603242698,4,1
557.044413984551,29.362782047292022,2,0
655.7311501721011,64.53652618891266,1,0
571.8302107034665,96.44106830249035,2,1
584.1883184464533,93.37916881474817,5,1
815.3843341637473,84.1156052083262,2,1
721.6033835809094,82.8035953279537,6,1
634.4359068825887,67.89304403273164,3,0
567.5616608646144,55.03474421391949,1,0
711.4217494996095,39.50775025122752,2,1
730.7415850466045,73.32411202956237,5,0
712.9482400321765,49.84314178791639,1,1
494.1367210207858,65.56477578381714,3,1
563.0610472771184,54.70517930101165,3,1
646.7900504860928,75.48837351716958,3,1
714.3884854236225,69.07899840526001,2,1
674.5287880801234,103.94903346741572,1,1
735.7284686488351,62.034865194822856,5,0
692.9545636967921,85.6654842432079,5,1
609.9781299468265,76.71124522452007,2,1
606.5756367202307,66.90600369903702,7,1
643.6976119401737,92.5384791541561,4,1
679.7272671252458,43.377776468097636,1,0
592.2880196115611,93.53306726103874,0,1
579.2321141852161,73.34522362696781,4,1
507.4277213013447,89.2946105945706,1,0
484.80598335995785,81.4359137701344,3,0
629.4374074673752,78.76212287690964,6,1
637.2086946198986,30.63855480468805,4,0
459.95369163147416,85.73064467280362,1,0
507.5445747268327,55.82928315331884,4,0
469.1530345711957,70.58406837109602,1,0
628.6795352367252,70.39810156386815,4,1
436.60036513334444,63.91091640105025,1,0
493.07209098383623,75.12653550992304,8,1
530.2758888632566,67.49153549577635,2,0
702.3109249167389,70.72515010199334,6,0
452.33721992455213,77.645697431765,2,1
845.8539518850582,56.806919192044084,4,0
487.80853534385835,73.00835415570465,3,1
602.168227575244,71.14439484808474,4,0
673.9755699004329,32.163430690323295,5,0
628.984521763734,65.51498637895256,3,1
428.83212387296163,65.20417359503077,3,0
601.357720452681,67.69167051685606,7,1
640.0198461007626,88.08925448138021,2,0
674.9787340860806,46.84293668737118,2,0
752.3170426578381,64.25832549265414,1,1
646.4941868136322,107.80737210475614,4,0
480.8216922654294,66.42757981495329,1,0
734.1368877407409,112.41695891984364,1,1
613.467231292444,83.27163321966196,2,0
702.355331211599,66.97460254053244,1,1
503.5970574695847,94.76578747530223,3,1
618.4857803451083,45.87897360341118,0,0
681.193641129315,44.26180785722174,2,0
279.8648196197314,101.41662357821257,1,0
593.484489053332,94.0163892323322,3,1
496.61518358860485,70.94073740311616,3,0
455.40472980928143,69.71662938435531,4,0
443.01562977890575,90.91106316755013,2,0
545.7458258664345,50.20183848646702,4,0
713.3852946478968,87.14576346848588,0,1
603.505495285252,71.82476318178985,4,1
499.0415340089647,53.660118499901166,3,0
567.072185056641,67.50286490161602,5,1
527.4898100348075,98.88508280711476,6,1
451.9786167313579,72.93014900375594,4,0
593.3305839582956,72.96619034660688,4,1
559.5348792759493,82.36535872995711,5,1
534.7007911915688,40.91233320062584,4,0
593.4254514192222,52.559413951912504,6,0
494.996459523142,59.324759042216755,1,0
359.80109461797565,46.246877956907106,2,0
641.9855832179267,69.68233725900522,3,0
628.7960417801229,69.83883397539589,3,0
494.1023299143558,64.28073938843114,2,1
711.193163962403,22.601527435454763,3,1
610.2965123627199,108.81752868861554,3,1
531.850922191102,83.81965483998368,1,1
680.4765945200398,88.56712118473946,0,1
486.82348452858685,53.64120654573866,5,0
501.6489258573968,34.36105665945239,5,0
596.2265342233064,35.176613274506494,5,1
652.2132821048541,28.325867745899572,4,1
527.4921605769762,102.42829421744722,9,1
398.330559117508,50.97822672353426,5,0
544.9984507140852,37.65607604656328,4,1
422.71373065778346,91.81970178565643,4,1
459.4184702001342,56.55998468450509,3,0
506.2671792959003,61.453665605155095,2,0
621.5431244163833,64.9450747636752,3,0
605.2675860721586,103.77634489570693,3,0
624.3712283002412,72.9839867647299,3,0
798.8625036234489,59.02135420748169,1,1
585.1728718424104,95.46027348260021,1,1
573.1270982745102,75.14040473820853,6,0
543.9494015195758,116.13319263800281,3,0
812.0452732371152,59.19627570794252,1,1
488.9529112212006,67.76881140818897,3,1
508.2316359166094,69.4824828286969,3,1
530.926568515022,39.92916223779876,3,0
686.8703499405779,98.52917365141126,2,1
627.9375428178516,50.43635479962052,6,1
544.1843352812699,102.76094439791702,2,0
764.0734110450492,11.189730094722698,1,0
713.6513973478375,79.86921523072853,4,1
724.6795524747946,98.59327599150933,2,1
555.6835972932105,113.74912309311313,1,1
516.150795071434,86.8611640243661,1,0
606.0973886695159,82.4716684956481,2,1
465.51735400923224,103.62228201665218,1,0
726.1183132252957,81.11917674759526,4,1
678.832071680961,75.23814033916528,4,0
563.9534425900654,93.44315547406305,2,0
576.6417775483687,90.61540565447402,5,1
702.487572188174,63.666001890542866,3,1
652.6891710081252,87.6278693956862,2,1
675.3608745276299,86.19720635296976,2,1
709.239633287372,56.17632788388327,1,0
607.6753305694863,76.54862902957221,3,0
602.4406538409196,72.17046751436177,2,1
509.31591443924407,95.8070744488038,2,0
627.7951919472547,72.79274659773377,1,0
662.990165088501,65.77538944314868,5,1
556.4376622624239,37.82226134603195,3,1
545.085565796333,39.75553600260369,5,0
611.6749733274199,74.10611081824193,3,1
470.185180845426,60.4934071661759,2,1
595.0085704558545,78.06387259062016,3,0
703.9198694089108,70.14461320687673,5,1
482.44716777709357,96.10385418432523,6,1
780.0074855849333,61.29610899267635,1,1
663.7316475375803,71.98154357701222,1,0
630.9071462627426,61.342000112628114,1,1
734.6748838713722,95.5209228876418,4,1
656.2209968720056,80.01819495205199,7,0
605.3947202866921,74.54343321902543,4,1
593.0581845240005,59.87878405787676,0,0
552.9878061585908,99.51259550605997,1,1
592.6435461775851,104.17725762009462,3,0
659.8382675640023,69.6088260486182,2,0
754.0743191315053,52.5560800098484,2,0
629.7149901245275,37.80147209379502,3,1
510.90231537473153,61.757881921647666,7,0
596.7489015737132,46.02853539056568,3,0
613.3530438976167,32.11956103473482,5,1
430.8469727371562,60.038950564317865,3,0
515.8732804323274,72.56758130361098,2,0
548.9485457195715,34.00508536478722,1,0
477.9874247432456,115.42877962521779,3,1
638.2881174268856,68.69446776913242,4,1
560.1178222692506,72.54754410024238,1,1
597.3870842518264,54.65657326556987,1,0
594.0571447689468,90.91493545224765,2,0
597.040085754404,103.40662542520148,10,1
632.1668426123193,53.93361280375639,3,0
518.9257194347077,46.244143688575605,5,1
